review,date,Marca,Produto,loja,estrelas,gptpt,descricaoGptpt,url
Essa é minha cerveja favorita.,2024-06-13,Colorado,Colorado Appia,Mercado Livre,4.9,1,A avaliação expressa claramente uma opinião positiva ao afirmar que o produto é a cerveja favorita do consumidor.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB28873505?noIndex=true&access=view_all&modal=true&controlled=true
"A cerveja é amplamente elogiada por seu excelente sabor e qualidade, sendo considerada uma das melhores do tipo trigo. Destacase também pelo bom custobenefício e por ser uma escolha saborosa que agrada aos apreciadores.",2023-11-22,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva, destacando o excelente sabor e qualidade da cerveja, além de ser considerada uma das melhores do tipo trigo. A menção ao bom custo-benefício e ser uma escolha saborosa que agrada aos apreciadores reforça a avaliação positiva do produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Cerveja muito boa.,2023-11-22,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que a cerveja é muito boa, indicando uma experiência satisfatória com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Sou apaixonado pela appia. Prefiro o gosto da garrafa.,2023-09-27,Colorado,Colorado Appia,Mercado Livre,4.9,0,"A avaliação menciona que a pessoa é apaixonada pela Appia, o que poderia indicar uma opinião positiva. No entanto, a segunda parte da avaliação afirma que prefere o gosto da garrafa, o que pode ser interpretado de forma neutra, sem uma clara polaridade positiva ou negativa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Comprei barato em relação ao preço de mercado e adorei o sabor.,2023-07-31,Colorado,Colorado Appia,Mercado Livre,4.9,1,A avaliação menciona que o produto foi comprado por um preço mais baixo em relação ao mercado e que o sabor foi adorado. Esses são aspectos positivos que indicam uma experiência satisfatória com o produto.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Cerveja de trigo deliciosa e custo excelente.,2023-04-15,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação descreve a cerveja de trigo como deliciosa e destaca um custo excelente, o que indica uma experiência positiva com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
"Excelente,vale a pena.",2023-03-25,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao utilizar termos como excelente e vale a pena. Essa expressão indica uma experiência satisfatória com o produto, o que caracteriza uma avaliação positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Otima.,2023-03-18,Colorado,Colorado Appia,Mercado Livre,4.9,0,"A avaliação é neutra, pois apenas menciona que o produto é ótimo, sem fornecer mais detalhes que permitam classificá-la como positiva ou negativa.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Uma excelente cerveja dispensa qualquer comentário. Simplesmente maravilhosa.,2023-03-14,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva, descrevendo a cerveja como excelente e maravilhosa. Não há nenhum elemento que indique sarcasmo, ironia ou polarity shift, apenas elogios diretos ao produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
"Essa cerveja é show de bola,, a loja gpa é extraordinária.",2023-03-04,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva, pois utiliza termos como show de bola e extraordinária para descrever a cerveja e a loja, respectivamente.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Atrasou um pouco mais os produtos são top recomendo.,2023-11-17,Colorado,Colorado Appia,Mercado Livre,4.9,1,"Apesar do atraso mencionado, a avaliação destaca que os produtos são de qualidade e recomenda a marca, o que caracteriza uma avaliação positiva.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Melhor cerveja.,2023-12-16,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que a cerveja é a melhor. Não há menção a nenhum aspecto negativo, indicando uma opinião favorável em relação ao produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Bom também.,2024-02-05,Colorado,Colorado Appia,Mercado Livre,4.9,0,"A avaliação é breve e não expressa claramente uma opinião positiva ou negativa sobre o produto Colorado Appia. Portanto, é classificada como neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Maravilha.,2024-02-01,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é curta, porém positiva, indicando que a pessoa está satisfeita com o produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Sou suspeito pra opinar. É maravilhosa.,2024-01-30,Colorado,Colorado Appia,Mercado Livre,4.9,1,"Apesar da expressão sou suspeito para opinar, a avaliação final é que o produto é maravilhoso, o que indica uma opinião positiva sobre a cerveja Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Uma cerveja muito gostosa e suave.,2024-01-05,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação descreve a cerveja como muito gostosa e suave, o que indica uma experiência positiva com o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Muito boa mesmo.,2023-12-30,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que o produto é muito boa mesmo. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
"Cervejeira incorpada, uma das melhores.",2023-12-22,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação descreve a cerveja como encorpada e uma das melhores, o que indica uma opinião positiva sobre o produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Muito boa.,2023-12-19,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que o produto é muito boa. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Excelente cerveja e uma das melhores dentre as de tribo.,2023-12-12,Colorado,Colorado Appia,Mercado Livre,4.9,1,A avaliação é claramente positiva ao descrever a cerveja como excelente e uma das melhores dentre as de tribo.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Vale a pena variar e experimentar!.,2023-12-06,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação sugere que vale a pena variar e experimentar, o que é positivo para o produto Colorado Appia, incentivando a experimentação e a diversificação de escolhas.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Top.,2023-06-05,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é curta e direta, utilizando a palavra Top para expressar uma opinião positiva sobre o produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Saborosa!!! uma delícia. Recomendo.,2023-04-24,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva, pois utiliza termos como saborosa e uma delícia, além de recomendar o produto. Isso indica uma experiência positiva com o Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Top.,2024-07-25,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é curta e direta, utilizando a palavra Top para expressar uma opinião positiva sobre o produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Excelente custo-benefício.,2024-07-13,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao mencionar um excelente custo-benefício, indicando uma experiência satisfatória com o produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Ok.,2024-07-11,Colorado,Colorado Appia,Mercado Livre,4.9,0,"A avaliação Ok. não expressa uma opinião clara positiva ou negativa sobre o produto Colorado Appia, sendo considerada neutra.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Muito boa.,2024-07-10,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que o produto é muito boa. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Ótima cerveja. Comprarei mais vezes.,2024-06-28,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva, pois descreve a cerveja como ótima e indica a intenção de compra futura. Não há elementos que sugiram ironia, sarcasmo ou polarity shift.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Ainda não provei assim que eu provar venho aqui contar.,2024-06-20,Colorado,Colorado Appia,Mercado Livre,4.9,0,"A avaliação não expressa uma opinião clara sobre o produto, apenas indica que a pessoa ainda não experimentou, mas pretende fazê-lo no futuro.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
"Top,sabor inigualável.",2024-06-20,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva, destacando o sabor inigualável do produto Colorado Appia. Não há sarcasmo, ironia ou polarity shift, apenas elogios ao sabor do produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Produto de excelente qualidade. Muito saboroso e agradável. Ideal para presentear amigos.,2024-05-28,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva, destacando a excelente qualidade, saboroso e agradável do produto. Além disso, menciona que é ideal para presentear amigos, o que reforça a percepção positiva do produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Muito boa.,2024-05-24,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao afirmar que o produto é muito boa. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável em relação ao produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Ótimo produto.,2024-05-22,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao descrever o produto como ótimo. Não há sarcasmo, ironia ou polarity shift, indicando uma opinião favorável sobre o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Muito gostosa de cerveja.,2024-05-02,Colorado,Colorado Appia,Mercado Livre,4.9,1,A avaliação é claramente positiva ao afirmar que a cerveja é muito gostosa.,https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Pra mim é a melhor cerveja que tem.,2024-04-14,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação afirma que a cerveja é a melhor, indicando uma opinião positiva sobre o produto.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
Excelente.,2024-04-07,Colorado,Colorado Appia,Mercado Livre,4.9,1,"A avaliação é claramente positiva ao utilizar a palavra excelente, indicando uma opinião favorável em relação ao produto Colorado Appia.",https://www.mercadolivre.com.br/noindex/catalog/reviews/MLB21741002?noIndex=true&access=view_all&modal=true&controlled=true
